Region,Offset,Motif,Count,Total
FG-dDMR_only,±0.0kb,FG-siren_07,5,510
FG-dDMR_only,±0.0kb,FG-siren_08,0,510
FG-dDMR_only,±0.0kb,FG-siren_09,3,510
FG-dDMR_only,±0.0kb,FG-siren_10,25,510
FG-dDMR_only,±1.0kb,FG-dDMR_01,272,510
FG-dDMR_only,±1.0kb,FG-dDMR_02,10,510
FG-dDMR_only,±1.0kb,FG-dDMR_03,76,510
FG-dDMR_only,±1.0kb,FG-dDMR_04,182,510
FG-dDMR_only,±1.0kb,FG-dDMR_05,208,510
FG-dDMR_only,±1.0kb,FG-dDMR_06,44,510
FG-dDMR_only,±1.0kb,FG-dDMR_07,64,510
FG-dDMR_only,±1.0kb,FG-dDMR_08,239,510
FG-dDMR_only,±1.0kb,FG-dDMR_09,100,510
FG-dDMR_only,±1.0kb,FG-dDMR_10,102,510
FG-dDMR_only,±1.0kb,FG-dDMR_11,163,510
FG-dDMR_only,±1.0kb,FG-dDMR_12,270,510
FG-dDMR_only,±1.0kb,FG-dDMR_13,186,510
FG-dDMR_only,±1.0kb,FG-dDMR_14,8,510
FG-dDMR_only,±1.0kb,FG-dDMR_15,105,510
FG-dDMR_only,±1.0kb,FG-dDMR_16,177,510
FG-dDMR_only,±1.0kb,FG-dDMR_17,71,510
FG-dDMR_only,±1.0kb,FG-dDMR_18,49,510
FG-dDMR_only,±1.0kb,FG-dDMR_19,88,510
FG-dDMR_only,±1.0kb,FG-dDMR_20,92,510
FG-dDMR_only,±1.0kb,FG-dDMR_21,237,510
FG-dDMR_only,±1.0kb,FG-dDMR_22,92,510
FG-dDMR_only,±1.0kb,FG-dDMR_23,228,510
FG-dDMR_only,±1.0kb,FG-dDMR_24,229,510
FG-dDMR_only,±1.0kb,FG-siren_01,72,510
FG-dDMR_only,±1.0kb,FG-siren_02,72,510
FG-dDMR_only,±1.0kb,FG-siren_03,234,510
FG-dDMR_only,±1.0kb,FG-siren_04,62,510
FG-dDMR_only,±1.0kb,FG-siren_05,79,510
FG-dDMR_only,±1.0kb,FG-siren_06,78,510
FG-dDMR_only,±1.0kb,FG-siren_07,94,510
FG-dDMR_only,±1.0kb,FG-siren_08,167,510
FG-dDMR_only,±1.0kb,FG-siren_09,120,510
FG-dDMR_only,±1.0kb,FG-siren_10,166,510
FG-dDMR_only,±2.0kb,FG-dDMR_01,351,510
FG-dDMR_only,±2.0kb,FG-dDMR_02,32,510
FG-dDMR_only,±2.0kb,FG-dDMR_03,151,510
FG-dDMR_only,±2.0kb,FG-dDMR_04,295,510
